"module"	"tf"	"color"	"odds_ratio"	"pval"	"fdr"	"Significance"	"Jaccard"	"size_intersection"
"Sox3"	"yellow"	"Sox3"	"yellow"	2.22809983269444	1.36860236367634e-07	4.19005757853305e-07	"***"	0.00917992656058752	75
"Sox6"	"yellow"	"Sox6"	"yellow"	2.00490547949267	2.84460637328551e-05	6.51943580482638e-05	"***"	0.00894928737156115	54
"STAT1::STAT2"	"yellow"	"STAT1::STAT2"	"yellow"	2.43581059769313	8.18126301349071e-10	3.24064896003402e-09	"***"	0.00905357476199365	97
"Stat4"	"yellow"	"Stat4"	"yellow"	1.90446546184697	9.17408801128311e-05	0.00019544606348645	"***"	0.00858505564387917	54
"Stat5a::Stat5b"	"yellow"	"Stat5a::Stat5b"	"yellow"	2.05537685065607	1.78958322027513e-05	4.2114482092279e-05	"***"	0.00915371329879102	53
"Stat6"	"yellow"	"Stat6"	"yellow"	1.85388510654416	0.000368772657037177	0.000717040144612686	"***"	0.00853115727002967	46
"Tcf12"	"yellow"	"Tcf12"	"yellow"	2.39967838895779	3.29075743607821e-08	1.08544069888623e-07	"***"	0.00997914804885314	67
"TCF7L2"	"yellow"	"TCF7L2"	"yellow"	2.06531558085042	2.72848153966805e-05	6.27256464897493e-05	"***"	0.00927327781983346	49
"ZBTB33"	"yellow"	"ZBTB33"	"yellow"	3.42505237847341	4.22867949806351e-08	1.37355365989349e-07	"***"	0.0147689375893283	31
"ELK4"	"yellow"	"ELK4"	"yellow"	1.07529728266589	0.399861040092026	0.432731628494175	" "	0.00546448087431694	25
"ESR2"	"yellow"	"ESR2"	"yellow"	2.75804193176328	3.09069312278958e-09	1.14519390874223e-08	"***"	0.0115822130299897	56
"IRF1"	"yellow"	"IRF1"	"yellow"	2.62764627856889	2.29145561632788e-11	1.11605607602651e-10	"***"	0.00850292723724561	122
"Nfe2l2"	"yellow"	"Nfe2l2"	"yellow"	1.96180388044097	0.000305588904910795	0.000600973610887837	"***"	0.00904872389791183	39
"STAT1"	"yellow"	"STAT1"	"yellow"	1.49623501960917	0.0186851723484113	0.0266948073512573	"*"	0.0072128722027002	39
"STAT3"	"yellow"	"STAT3"	"yellow"	2.08512464910386	4.15575417446738e-06	1.06474846507819e-05	"***"	0.00905506061048634	62
"GATA1::TAL1"	"yellow"	"GATA1::TAL1"	"yellow"	1.87481936439216	0.00245858709970857	0.00422929894630882	"**"	0.00879320800485143	29
"YY1"	"yellow"	"YY1"	"yellow"	1.35658506505376	0.0521633942070626	0.0682500299534675	""	0.00664346725719709	42
"Bach1::Mafk"	"yellow"	"Bach1::Mafk"	"yellow"	2.08688891177287	0.000137088478781932	0.000285399084199036	"***"	0.00956566701137539	37
"FOXP2"	"yellow"	"FOXP2"	"yellow"	1.73246891868138	0.000990002985053793	0.00182206141492631	"**"	0.00802883827625758	49
"SREBF1"	"yellow"	"SREBF1"	"yellow"	2.27565409851915	2.80468719582811e-06	7.37286180234068e-06	"***"	0.0100533442757489	49
"SREBF2"	"yellow"	"SREBF2"	"yellow"	2.70883026352019	6.83708413809093e-09	2.44431218866574e-08	"***"	0.0114440282979609	55
"THAP1"	"yellow"	"THAP1"	"yellow"	2.13166658517386	2.8831745048445e-05	6.59769380556442e-05	"***"	0.00962169254318828	44
