"gene_name"	"module"	"color"	"kME_turquoise"	"kME_red"	"kME_grey"	"kME_brown"	"kME_blue"	"kME_yellow"	"kME_green"
"PPP1R8"	"PPP1R8"	"grey"	"grey"	-0.00177077868125958	0.0263645577022879	0.0730679637243034	0.0649252887383577	0.0974665749999644	0.0247862512734685	0.0320427794625887
"EYA3"	"EYA3"	"grey"	"grey"	0.0673659230443751	0.0557217597920713	0.0899224256187044	0.110504353601273	0.0580116732506008	0.0444625204090726	0.0150388917447982
"DNAJC8"	"DNAJC8"	"grey"	"grey"	-0.0194350963261672	0.0144792938858963	0.0492396404283817	0.0612482128485491	0.102094885087036	0.00753732908176908	0.0173527002621132
"ATP5IF1"	"ATP5IF1"	"grey"	"grey"	-0.000748350995813565	0.00157166819662316	0.00956525126576708	0.00777832812517708	0.0282983935046805	0.00582866516782959	0.000866040778596591
"SESN2"	"SESN2"	"grey"	"grey"	-0.0465464896598074	0.00875869976983743	0.0702097769526173	0.0234540227212757	0.111991956587216	0.0392339314589534	0.051540983547785
"PHACTR4"	"PHACTR4"	"grey"	"grey"	0.0295751233354787	0.032177132360852	0.13929237849969	0.0509968397833638	0.185094015067542	0.108310533600947	0.125019805575661
"TRNAU1AP"	"TRNAU1AP"	"grey"	"grey"	-0.0603206193328167	-0.0310114508167914	0.0681775461839154	-0.0146521789633506	0.13358147678285	0.0513041437994468	0.06769024243515
"TAF12"	"TAF12"	"grey"	"grey"	0.0198892698533356	0.0151691249192101	0.0703084874564055	0.0321911725284104	0.0743302485854239	0.0454682845000897	0.0316348604645147
"GMEB1"	"GMEB1"	"blue"	"blue"	-0.0406558572138022	-0.0206587262878077	0.0655175082008951	-0.00194186470017206	0.149277140492159	0.0706255632587755	0.0958103486944634
"YTHDF2"	"YTHDF2"	"grey"	"grey"	-0.0138396751074044	-0.00540729488774564	0.073916121656597	0.0335794519098045	0.104560070630827	0.0570272356200094	0.0493278731601252
"OPRD1"	"OPRD1"	"grey"	"grey"	0.0184142184476374	0.0883686884923408	0.105139882567845	0.0569309215063838	0.164590910195089	0.0872595113926574	0.141051139276058
