"gene_name"	"module"	"color"	"kME_green"	"kME_brown"	"kME_red"	"kME_black"	"kME_blue"	"kME_grey"	"kME_turquoise"	"kME_yellow"	"kME_pink"
"ERRFI1"	"ERRFI1"	"grey"	"grey"	0.039769835119956	0.04038941918747	0.0360665341071324	0.0318602575196196	0.0758042775215295	-0.182709431053306	-0.0348297013284634	0.0944205275249774	0.0340964746446027
"RERE"	"RERE"	"black"	"black"	-0.02999865425088	0.10323354944096	0.0938592093018853	0.267713170665657	0.235406245378671	0.15126070297409	0.0342022469908997	0.0853040013637425	0.0894711603542663
"ENO1"	"ENO1"	"grey"	"grey"	0.0323497390535806	0.0220008532480951	-0.00592137639455961	-0.00269167634902262	-0.00496517573734148	0.00330657534883323	0.0661502461293035	0.0447675224196713	0.0436131314276063
"MIR34AHG"	"MIR34AHG"	"grey"	"grey"	-0.0051670461616158	0.0152546933864233	0.0444839961892025	0.0274575404058599	0.0426526180094543	-0.0577884108323781	0.0113825600972937	0.00766614201401972	0.0329631580846664
"H6PD"	"H6PD"	"grey"	"grey"	0.0356580720218477	0.0453429469711121	0.0115766212630015	0.018570605946852	0.00740818617632383	0.0600776242366735	0.0645894481509873	0.0387311253633279	0.0381583302604445
"SPSB1"	"SPSB1"	"grey"	"grey"	0.0537549649411737	0.036335509331723	0.0384541094862692	-0.0379563320433642	0.0485256233422879	-0.128030313434828	-0.0363334750869672	0.0931265366616754	0.00469229876458613
"SLC25A33"	"SLC25A33"	"turquoise"	"turquoise"	0.110679359640755	0.087430198376509	-0.031332444396452	0.0175765662313282	-0.0600623945079555	0.145743585291399	0.192788102676021	0.0135057212654227	0.0360461022775505
"CLSTN1"	"CLSTN1"	"grey"	"grey"	0.0597492682552353	0.0691443723629256	-0.000915476284848738	0.0124516229020424	-0.000937726859680347	0.0806833497911386	0.125856391042523	0.0658237590206297	0.0618796846256103
"CTNNBIP1"	"CTNNBIP1"	"turquoise"	"turquoise"	0.00837876792777198	0.0341706638151633	0.00444910670405826	0.0111668351548389	-0.0136323805119286	0.261388750425783	0.210280359941196	0.0837290838787225	0.107151129752884
"LZIC"	"LZIC"	"grey"	"grey"	0.0181453505115896	0.0120749695072517	-0.00873893543454043	0.0028208552701304	-0.006854752672435	0.0704122933488984	0.0554242453342084	0.00888485588310744	0.025306554394347
"NMNAT1"	"NMNAT1"	"grey"	"grey"	-0.0308358187715404	-0.0275896864584054	-0.0168808553028419	-0.02846759874716	-0.0117297756785805	0.0884144460365257	0.0946566306486005	0.0602588943523742	0.0800947972163727
"UBE4B"	"UBE4B"	"turquoise"	"turquoise"	0.0979780047614482	0.152851098526632	0.0149286422638204	0.0720318161910429	0.0249615355930768	0.0728558680512774	0.24249399379537	0.106068759616033	0.123301592242916
"KIF1B"	"KIF1B"	"turquoise"	"turquoise"	0.248681701104248	0.267704813387589	-0.0136479736365043	0.0606604482575133	-0.0542012895835438	0.209681060544033	0.291604132362153	0.045264327808635	0.0410195286890275
"PGD"	"PGD"	"grey"	"grey"	0.0639691655322445	0.0520834145915143	-0.00577655307649291	-0.00544598720499082	-0.0487746587569749	0.134505635166446	0.12979729779711	0.0366064392777767	0.0449837074311558
"DFFA"	"DFFA"	"grey"	"grey"	0.00987451905329949	0.0141716368485484	0.00262712441449501	0.00992919341625685	0.0108821805960534	0.0904564293557219	0.087454312609791	0.0488233412523688	0.0581167634430746
"PEX14"	"PEX14"	"grey"	"grey"	0.0713384830854352	0.117674396873394	0.0381533562302637	0.0570241223148984	0.0663852917418223	0.076986697867732	0.0781902274649912	0.0620699538078941	0.0348059175795471
"CASZ1"	"CASZ1"	"grey"	"grey"	0.00503403816673999	0.00640241917837073	0.0742440406611195	-0.0153885483888486	0.0153564935872253	0.0775909653555203	0.0795473291551313	0.0988489808208722	0.0966463131811443
"C1orf127"	"C1orf127"	"pink"	"pink"	-0.000694350811050611	0.0354618726822438	0.0102265280767954	0.0486631422052878	-0.0146567687427375	0.103816226336382	0.221861034652592	0.0781637092789916	0.235581836346795
"TARDBP"	"TARDBP"	"grey"	"grey"	0.0650525663724386	0.0924723704449588	0.0110388673668668	0.0477562602501117	0.00740134832670922	0.0966727402472915	0.125528564512703	0.0387924390480198	0.0498934244637803
"EXOSC10"	"EXOSC10"	"turquoise"	"turquoise"	0.0618692184544171	0.0632046787752544	-0.0240294612977866	-0.00660981197225019	-0.0416720740417087	0.188700508156817	0.196394364102077	0.0646447991174303	0.0815858268179803
"MTOR"	"MTOR"	"grey"	"grey"	0.0901204024915927	0.114020038639029	0.00206251677813143	0.0352344365862405	0.00508793639636866	0.180696217236989	0.164379230560477	0.0414032475684576	0.0585887058482733
"DISP3"	"DISP3"	"yellow"	"yellow"	-0.0561316607245348	-0.0466180613012114	0.0714073527506485	-0.0102185673495335	0.104440197147427	-0.0814270086872357	-0.072336010078357	0.187275990101072	0.0938464763665854
"MTHFR"	"MTHFR"	"turquoise"	"turquoise"	0.0140252455233649	0.013222891350192	-0.0151688892216861	-0.0277390415845143	-0.0375262153575566	0.14293440545961	0.166591264862767	0.0713126176206173	0.0825469682564214
"CLCN6"	"CLCN6"	"turquoise"	"turquoise"	0.0599804032761684	0.0651418595800214	-0.0168041790458911	0.00835296024393562	-0.0374376839155459	0.21337191336191	0.195938558429926	0.0382246312902349	0.0636784447566222
"MFN2"	"MFN2"	"grey"	"grey"	0.0306360933766451	0.0176931533081151	-0.0224036702452995	-0.0191770863740417	-0.0412805379375694	0.0943414077415574	0.115121279958735	0.0351267309470684	0.0476475543153368
"VPS13D"	"VPS13D"	"grey"	"grey"	0.135532113631849	0.161004852874399	0.0207280684776558	0.0594399441623326	-0.0143171655828202	0.155797045356327	0.261504993480565	0.0772798459380658	0.0851644768998317
"C1orf158"	"C1orf158"	"turquoise"	"turquoise"	0.0474936749481518	0.0108907838079274	-0.00011438185084483	-0.0123837958714003	-0.0300672585693826	0.246847163617689	0.164787442906099	0.0768005980530908	0.0891046365301291
"PRDM2"	"PRDM2"	"green"	"green"	0.191743575505053	0.16259032625898	0.00628533268053584	0.0391278075435457	-0.0129565894258192	0.094953341990234	0.123788035990203	0.0095870846739951	-0.0057269992939468
"KAZN"	"KAZN"	"grey"	"grey"	0.0182018529587033	0.0239968018700282	-0.0116183986754686	-0.00380516721498022	-0.0164936805299591	0.325809517485843	0.143167226683508	0.0373274960666408	0.0470693439358119
"TMEM51"	"TMEM51"	"grey"	"grey"	0.0417376647596179	0.0326553238531162	0.0199455454359803	-0.0141331219997619	0.0119591417141176	-0.0510341033547751	0.014972893556352	0.0609566123198642	0.0214134580128683
"CASP9"	"CASP9"	"grey"	"grey"	0.0265536722439591	0.0240333345773132	-0.00317986926481401	0.0229936168641768	0.0153298579384389	0.0637811686726779	0.0627857741133083	0.0281534870170905	0.0500849635314014
"DNAJC16"	"DNAJC16"	"grey"	"grey"	0.0603279985124315	0.0850402394100557	-0.00655012746864999	0.0325237808185128	0.0194931620811861	0.103552791303985	0.110821486150519	0.0349012098354124	0.0460700617561675
"DDI2"	"DDI2"	"grey"	"grey"	0.0380134414354983	0.0715951551650666	0.00382045926958157	0.0625086986876823	0.0163082298698633	0.0455154994157215	0.127660752138474	0.0698064463411482	0.0892765128606757
"PLEKHM2"	"PLEKHM2"	"turquoise"	"turquoise"	0.00221491787499204	0.014058935139038	-0.000711088584747047	0.0150051062322086	0.00734762995409395	0.0979040263329072	0.158359043383353	0.108597419662742	0.12923780692901
"FBLIM1"	"FBLIM1"	"grey"	"grey"	-0.00959612806735903	-0.0170609038870015	-0.00820597354441078	-0.0213323098390302	-0.0196127824191464	0.136993889643179	0.113942630922336	0.0954193776204754	0.0978839331199165
"AL450998.2"	"AL450998.2"	"grey"	"grey"	0.0402948902866525	0.0487942994613984	-0.0147018159161878	0.0297991880850925	-0.0232106857246335	0.0801779258019492	0.0692910409811859	-0.00263866123057526	0.00212220336442817
"SPEN"	"SPEN"	"grey"	"grey"	0.0973171508947259	0.114975633913631	0.0251058070384429	0.0187325419515148	0.0302322700239966	0.0615115774712495	0.141444453950295	0.0962426562424796	0.0792012754199967
"ZBTB17"	"ZBTB17"	"grey"	"grey"	0.0362254648991306	0.0556324124566303	0.0252557267239865	0.0320143730973243	0.0226346677574905	0.0209876913403325	0.061559743266337	0.041249207680173	0.0412640868067656
"FBXO42"	"FBXO42"	"turquoise"	"turquoise"	0.058260377597488	0.0872037791571798	-0.0212744091409298	0.0275824009664607	-0.0141889013186069	0.102235212488063	0.171145112296721	0.0432252701753424	0.0786532838039924
"SZRD1"	"SZRD1"	"grey"	"grey"	0.0325358830966702	0.0493139331285092	0.00915066808484112	0.0120056181568642	-0.00532473626022645	0.0698448653748761	0.0895106446634617	0.0438374661683174	0.0502523500722236
"NECAP2"	"NECAP2"	"grey"	"grey"	0.0167751097679063	0.00785591903270653	-0.0141670076626876	-0.00133023066866409	0.00022141461790834	0.0635295352718667	0.0328641196988721	-0.000598904859939664	0.0073372957547106
"NBPF1"	"NBPF1"	"grey"	"grey"	0.0194178468593346	0.0499925006160882	0.00704184465142203	0.042289650077302	0.0430379737756625	0.0830885089016493	0.0677697508655509	0.0366223310961109	0.0467155674642321
"CROCC"	"CROCC"	"grey"	"grey"	-0.0169215003453988	-0.0180157680541827	0.00282773299183895	-0.00698803213241599	-0.00978372155520515	0.0754473436493742	0.0792217065163795	0.0472177140167689	0.0650177410603689
"SDHB"	"SDHB"	"grey"	"grey"	0.0838037429791424	0.0779964033186043	-0.0119779492748776	0.00516973577519436	-0.0571936496821962	0.0834415255264414	0.117847701762508	0.00218853770446742	0.00550841090479549
"RCC2"	"RCC2"	"grey"	"grey"	0.0245855991357037	0.0274624472679785	0.00632211695801581	0.0307932139883816	0.0186041249592084	0.104274564073603	0.053724742564745	0.021803780484079	0.0312065542458582
"ARHGEF10L"	"ARHGEF10L"	"turquoise"	"turquoise"	0.00397367745506302	0.0414545823661655	-0.0237512652650014	-0.00803669112347174	0.00198089398967798	0.229673174384974	0.220252935315726	0.193809101856449	0.158897477062051
"UBR4"	"UBR4"	"turquoise"	"turquoise"	0.188811626874219	0.171191025216249	0.0212081542753425	0.0153088066230251	-0.0765302868144808	0.291910505699126	0.390365685734794	0.113554325943749	0.0940525172975172
"EMC1-AS1"	"EMC1-AS1"	"grey"	"grey"	0.0558483137208814	0.0548257908990319	0.00217755100432578	0.0107961531095294	-0.0179632231811802	0.0238099066203842	0.049639898792256	0.00864144341192028	-0.00108117222180806
"EMC1"	"EMC1"	"grey"	"grey"	0.0192711246717803	0.0354926474603079	-0.00478281975654103	0.0148118343850583	0.00289956057812215	0.0706086191574943	0.0730493238195543	0.033256326872295	0.0360661532977137
"AKR7A2"	"AKR7A2"	"grey"	"grey"	0.04119345516279	0.0283946901266736	-0.0160296171081635	-0.0209967572322713	-0.0510836555718063	0.0995077146436224	0.0943102292751209	0.01554718308965	0.0316867664943211
"CAPZB"	"CAPZB"	"grey"	"grey"	0.059635012657462	0.0875868230471329	0.00188930902817169	0.00702870142021599	0.0506371509707656	0.109376512405905	0.113346585865254	0.116261603542208	0.0828440789380203
"MICOS10"	"MICOS10"	"grey"	"grey"	0.0107337046444303	0.0350960252849958	-0.00681305436590173	0.0235195289967807	0.0158216603722521	0.0360744169848443	0.0503195372782993	0.0280679647226506	0.0341750569070092
"TMCO4"	"TMCO4"	"grey"	"grey"	0.0083707979814686	0.039741587135619	0.0287892434122067	0.0615408897110544	0.0662783963952233	-0.0216462207220563	0.0572560318135881	0.0950453585104873	0.099351263549715
