"module"	"tf"	"color"	"odds_ratio"	"pval"	"fdr"	"Significance"	"Jaccard"	"size_intersection"
"ISX"	"yellow"	"ISX"	"yellow"	0.724476263792843	0.85508613248763	0.868474138646388	" "	0.00327064595257563	8
"JDP2"	"yellow"	"JDP2"	"yellow"	1.23816218719997	0.24437602000476	0.276585641454278	" "	0.00546448087431694	16
"JDP2(var.2)"	"yellow"	"JDP2(var.2)"	"yellow"	1.50296037779941	0.101037889924826	0.125102515989909	" "	0.00642791551882461	14
"KLF13"	"yellow"	"KLF13"	"yellow"	1.74543295025259	0.00904267082125463	0.0143622009275992	"*"	0.00741797432239658	26
"LHX6"	"yellow"	"LHX6"	"yellow"	1.69267842115563	0.0437368823912427	0.0590279769586016	""	0.00715307582260372	15
"MEF2B"	"yellow"	"MEF2B"	"yellow"	1.79411366331963	0.000200117623225724	0.000447304110640869	"***"	0.00701868048806824	65
"MEOX1"	"yellow"	"MEOX1"	"yellow"	1.65964379219084	0.0396585882092075	0.0540001036807097	""	0.00706860706860707	17
"MIXL1"	"yellow"	"MIXL1"	"yellow"	1.38236677932094	0.118429355117813	0.1445668984216	" "	0.00604902897166507	19
"MLX"	"yellow"	"MLX"	"yellow"	1.33977542999847	0.243991289774693	0.276254983376089	" "	0.00562851782363977	9
"MLXIPL"	"yellow"	"MLXIPL"	"yellow"	1.14354431044616	0.419285638720194	0.451182294548553	" "	0.00478796169630643	7
"MSC"	"yellow"	"MSC"	"yellow"	2.34214428462833	1.83209138871224e-05	4.92297226827314e-05	"***"	0.00939086294416244	37
"MSX1"	"yellow"	"MSX1"	"yellow"	0.900708735494896	0.666387662946517	0.689852831303523	" "	0.00399290150842946	9
"MYF6"	"yellow"	"MYF6"	"yellow"	1.81699985288116	0.00744150476894411	0.0120622215242568	"*"	0.0076873798846893	24
"NEUROD2"	"yellow"	"NEUROD2"	"yellow"	0.509310830230193	0.931204562362376	0.938913469873062	" "	0.00216294160057678	3
"NEUROG2"	"yellow"	"NEUROG2"	"yellow"	1.12744109905179	0.412311328099957	0.444646549710976	" "	0.00485175202156334	9
"NFIA"	"yellow"	"NFIA"	"yellow"	1.78606924174501	0.00698690253307243	0.0113804132962272	"*"	0.00756693830034924	26
"NFIX"	"yellow"	"NFIX"	"yellow"	1.76223105005479	0.0103051928760981	0.0161640487185635	"*"	0.00748596381784155	24
"NHLH1"	"yellow"	"NHLH1"	"yellow"	2.3547177024519	3.3922472235725e-06	1.03080098932183e-05	"***"	0.00923266311038162	45
"NKX2-3"	"yellow"	"NKX2-3"	"yellow"	1.63822464574072	0.026031802658684	0.0372114486867128	"*"	0.00702650910252316	22
